封面,标题,出版信息,评分,评价人数
https://img2.doubanio.com/view/subject/s/public/s33687223.jpg,洞见,"
        
  
  （美）罗伯特·赖特 / 宋伟 / 读创 | 北京联合出版公司 / 2020-8 / 78.00元

      ",8.2,"
        (1818人评价)
    "
https://img1.doubanio.com/view/subject/s/public/s33631197.jpg,人间值得,"
        
  
  [日]中村恒子、[日]奥田弘美 / 范宏涛 / 北京日报出版社 / 2019-8 / 49.90元

      ",8.1,"
        (11762人评价)
    "
https://img1.doubanio.com/view/subject/s/public/s28261247.jpg,社会心理学,"
        
  
  [美] 戴维·迈尔斯 / 侯玉波、乐国安、张志勇 / 人民邮电出版社 / 2014-10-1 / 368.00元

      ",9.4,"
        (3128人评价)
    "
https://img9.doubanio.com/view/subject/s/public/s4619775.jpg,人生的智慧,"
        
  
  [德] 阿图尔·叔本华 / 韦启昌 / 上海人民出版社 / 2008-10 / 28.00元

      ",9.2,"
        (20702人评价)
    "
https://img9.doubanio.com/view/subject/s/public/s4441345.jpg,自卑与超越,"
        
  
  阿尔弗雷德·阿德勒 / 曹晚红、魏雪萍 / 汕头大学出版社 / 2010-6 / 25.00元

      ",7.5,"
        (12558人评价)
    "
https://img2.doubanio.com/view/subject/s/public/s27276912.jpg,改变心理学的40项研究,"
        
  
  罗杰•霍克 (Roger R. Hock) / 白学军 / 人民邮电出版社 / 2010-8-1 / 28.00元

      ",9.2,"
        (3917人评价)
    "
https://img9.doubanio.com/view/subject/s/public/s2594504.jpg,进化心理学,"
        
  
  David M.Buss / 熊哲宏 / 华东师范大学出版社 / 2007-6 / 49.80元

      ",8.8,"
        (3955人评价)
    "
https://img9.doubanio.com/view/subject/s/public/s28242755.jpg,逃避自由,"
        
  
  [美] 艾里希·弗洛姆 / 刘林海 / 上海译文出版社 / 2015-6 / 28.00元

      ",9.2,"
        (5568人评价)
    "
https://img9.doubanio.com/view/subject/s/public/s6536156.jpg,我们时代的神经症人格,"
        
  
  卡伦·霍尼 / 冯川 / 译林出版社 / 2011-5 / 18.00元

      ",9.0,"
        (5053人评价)
    "
https://img3.doubanio.com/view/subject/s/public/s28113560.jpg,存在主义心理治疗,"
        
  
  (美) 亚隆 / 黄峥、张怡玲、沈东郁 / 商务印书馆 / 2015-5 / 79.00

      ",9.5,"
        (2495人评价)
    "
https://img1.doubanio.com/view/subject/s/public/s27196248.jpg,反脆弱,"
        
  
  [美]纳西姆•尼古拉斯•塔勒布 / 雨珂 / 中信出版社 / 2014-1-1 / 68.00元

      ",8.0,"
        (9847人评价)
    "
https://img9.doubanio.com/view/subject/s/public/s33737965.jpg,正午之魔,"
        
  
  [美/英] 安德鲁·所罗门 / 屠彬、张哲 / 上海三联书店 / 2020-10 / 116.00

      ",9.0,"
        (366人评价)
    "
https://img9.doubanio.com/view/subject/s/public/s5678874.jpg,态度改变与社会影响,"
        
  
  菲利普·津巴多 (Philip G. Zimbardo)、迈克尔·利佩 (Michael R. Leippe) / 邓羽、肖莉、唐小艳 等 / 人民邮电出版社 / 2007-11-1 / 68.00元

      ",9.0,"
        (2105人评价)
    "
https://img2.doubanio.com/view/subject/s/public/s28109182.jpg,无声告白,"
        
  
  [美] 伍绮诗 / 孙璐 / 江苏凤凰文艺出版社 / 2015-7 / 35.00元

      ",8.2,"
        (123410人评价)
    "
https://img1.doubanio.com/view/subject/s/public/s3232018.jpg,钝感力,"
        
  
  [日] 渡边淳一 / 李迎跃 / 上海人民出版社 / 2007-5 / 15.00元

      ",6.7,"
        (17752人评价)
    "
https://img9.doubanio.com/view/subject/s/public/s33660425.jpg,煤气灯效应,"
        
  
  [美]罗宾·斯特恩 / 刘彦 / 中信出版集团 / 2020-6 / 58

      ",7.2,"
        (1285人评价)
    "
https://img2.doubanio.com/view/subject/s/public/s33713442.jpg,认知觉醒,"
        
  
  周岭 / 人民邮电出版社 / 2020-10 / 59.8

      ",8.3,"
        (1624人评价)
    "
https://img2.doubanio.com/view/subject/s/public/s28324472.jpg,人性的弱点,"
        
  
  戴尔·卡耐基 (Dale Carnegie) / 陶曚 / 天津人民出版社 / 2014-9 / 32.00元

      ",7.7,"
        (12381人评价)
    "
https://img2.doubanio.com/view/subject/s/public/s28338983.jpg,心理学与生活（第19版）,"
        
  
  理查德·格里格 (Richard J.Gerrig) / 王垒 等 / 人民邮电出版社 / 2014-11-1 / 368.00元

      ",9.4,"
        (1529人评价)
    "
https://img9.doubanio.com/view/subject/s/public/s29543736.jpg,高敏感是种天赋,"
        
  
  [丹麦]伊尔斯·桑德 / 李红霞 / 北京联合出版公司 / 2017-8 / 45.00元

      ",7.5,"
        (3531人评价)
    "
https://img2.doubanio.com/view/subject/s/public/s33767862.jpg,疗愈你的内在小孩,"
        
  
  施琪嘉 / 人民邮电出版社 / 2021-1-1 / 59.80元

      ",7.6,"
        (351人评价)
    "
https://img9.doubanio.com/view/subject/s/public/s33766054.jpg,根本停不下来,"
        
  
  沈家宏 / 人民邮电出版社 / 2021-1 / 59.8

      ",7.7,"
        (199人评价)
    "
https://img9.doubanio.com/view/subject/s/public/s33812755.jpg,我的内在无穷大,"
        
  
  张沛超 / 人民邮电出版社 / 2021-2 / 59.80元

      ",8.1,"
        (205人评价)
    "
https://img3.doubanio.com/view/subject/s/public/s29808391.jpg,怪诞行为学,"
        
  
  ［美］丹•艾瑞里 / 赵德亮、夏蓓洁 / 中信出版集团 / 2017-12-20 / 48

      ",8.1,"
        (2115人评价)
    "
https://img9.doubanio.com/view/subject/s/public/s29105145.jpg,刻意练习,"
        
  
  [美] 安德斯·艾利克森（Anders Ericsson）、罗伯特·普尔（Robert Pool） / 王正林 / 机械工业出版社 / 2016-11-6 / 39.00元

      ",7.8,"
        (16109人评价)
    "
https://img3.doubanio.com/view/subject/s/public/s29445260.jpg,幸福的勇气,"
        
  
  [日] 岸见一郎、古贺史健 / 渠海霞 / 机械工业出版社 / 2017-5-1 / 45

      ",8.3,"
        (2473人评价)
    "
https://img2.doubanio.com/view/subject/s/public/s33803623.jpg,和另一个自己谈谈心,"
        
  
  武志红 / 中国友谊出版公司 / 2021-1 / 59

      ",7.4,"
        (500人评价)
    "
https://img1.doubanio.com/view/subject/s/public/s28036829.jpg,狂热分子,"
        
  
  [美] 埃里克·霍弗 / 梁永安 / 广西师范大学出版社 / 2011-6 / 34.00元

      ",8.9,"
        (11508人评价)
    "
https://img9.doubanio.com/view/subject/s/public/s28045305.jpg,亲密关系：通往灵魂的桥梁,"
        
  
  [加]克里斯多福•孟 / 张德芬、余蕙玲 / 湖南文艺出版社 / 2015-4 / 35.00

      ",7.6,"
        (9527人评价)
    "
https://img9.doubanio.com/view/subject/s/public/s33792805.jpg,心理治疗如何改变人,"
        
  
  [加] 莫妮卡·布里永 / 鲍轶伦 / 人民邮电出版社 / 2020-12 / 59.80元

      ",8.6,"
        (134人评价)
    "
https://img9.doubanio.com/view/subject/s/public/s2857766.jpg,当下的力量,"
        
  
  [德] 埃克哈特·托利 / 曹植 / 中信出版社 / 2007-10 / 24.00元

      ",8.4,"
        (7674人评价)
    "
https://img3.doubanio.com/view/subject/s/public/s29444531.jpg,如何不喜欢一个人,"
        
  
  杰克森·麦肯锡 / 高娃 / 北京联合出版公司 / 2017-4-2 / 42.00

      ",7.6,"
        (1711人评价)
    "
https://img1.doubanio.com/view/subject/s/public/s33626079.jpg,热锅上的家庭,"
        
  
  [美] 奥古斯都·纳皮尔、卡尔·惠特克 / 李瑞玲 / 后浪丨北京联合出版公司 / 2020-5 / 68.00元

      ",8.7,"
        (1436人评价)
    "
https://img9.doubanio.com/view/subject/s/public/s4355925.jpg,拖延心理学,"
        
  
  [美] 简·博克(Jane B. Burka)、[美] 莱诺拉·袁(Lenora M. Yuen) / 蒋永强、陆正芳 / 中国人民大学出版社 / 2009-12 / 39.80元

      ",8.2,"
        (17257人评价)
    "
https://img1.doubanio.com/view/subject/s/public/s7649177.jpg,对伪心理学说不,"
        
  
  基思•斯坦诺维奇 / 窦东徽、刘肖岑 / 人民邮电出版社 / 2012-1-1 / 28.00元

      ",9.1,"
        (5077人评价)
    "
https://img3.doubanio.com/view/subject/s/public/s28094021.jpg,24个比利,"
        
  
  [美] 丹尼尔·凯斯 / 邢世阳 / 湖岸出版／外语教学与研究出版社 / 2015-6-30 / 39.00元

      ",8.1,"
        (26828人评价)
    "
https://img9.doubanio.com/view/subject/s/public/s33700175.jpg,操纵心理学,"
        
  
  [美] 哈丽雅特•B•布瑞克、Harriet B. Braiker / 李璐 / 后浪丨民主与建设出版社有限责任公司 / 2020-9 / 49.80元

      ",7.9,"
        (253人评价)
    "
https://img2.doubanio.com/view/subject/s/public/s27256973.jpg,爱的博弈,"
        
  
  约翰·戈特曼 (John Gottman)、娜恩·西尔弗 (Nan Silver) / 穆君、伏维 / 浙江人民出版社 / 2014-1-1 / 49.90

      ",7.9,"
        (2275人评价)
    "
https://img9.doubanio.com/view/subject/s/public/s33565235.jpg,掌控习惯,"
        
  
  【美】詹姆斯·克利尔（James Clear） / 迩东晨 / 北京联合出版公司 / 2019-7 / 56.00

      ",8.6,"
        (4398人评价)
    "
https://img9.doubanio.com/view/subject/s/public/s26872396.jpg,断舍离,"
        
  
  山下英子 / 吴倩 / 广西科学技术出版社 / 2013-7-30 / CNY 32.00

      ",7.4,"
        (36233人评价)
    "
https://img2.doubanio.com/view/subject/s/public/s6639653.jpg,如何让你爱的人爱上你,"
        
  
  [美] 莉尔·朗兹 / 毛燕鸿 / 新世界出版社 / 2011-6 / 38.50元

      ",7.4,"
        (5009人评价)
    "
https://img9.doubanio.com/view/subject/s/public/s3782055.jpg,梦的解析,"
        
  
  [奥地利] 弗洛伊德 / 丹宁 / 国际文化出版公司 / 1998-5 / 19.80元

      ",8.0,"
        (17649人评价)
    "
https://img2.doubanio.com/view/subject/s/public/s27198442.jpg,人间游戏,"
        
  
  [美] Eric Berne / 刘玎 / 中国轻工业出版社 / 2014-2-1 / 36

      ",7.5,"
        (211人评价)
    "
https://img9.doubanio.com/view/subject/s/public/s33782264.jpg,如果父母老后难相处,"
        
  
  [美] 格雷丝·勒博、[美] 芭芭拉·凯恩、Grace Lebow、Barbara Kane / 刘慧玉 / 后浪丨四川人民出版社 / 2020-12 / 56.00元

      ",8.6,"
        (168人评价)
    "
https://img2.doubanio.com/view/subject/s/public/s2566102.jpg,身份的焦虑,"
        
  
  [英] 阿兰·德波顿 / 陈广兴、南治国 / 上海译文出版社 / 2007-3 / 24.00元

      ",8.2,"
        (13871人评价)
    "
https://img1.doubanio.com/view/subject/s/public/s33471427.jpg,长大了就会变好吗？,"
        
  
  KnowYourself主创们 / 江西人民出版社 / 2019-7 / 45.00元

      ",8.0,"
        (2400人评价)
    "
https://img1.doubanio.com/view/subject/s/public/s33529549.jpg,人生十二法则,"
        
  
  [加拿大] 乔丹•彼得森、Jordan B. Peterson / 史秀雄 / 浙江人民出版社 / 2019-11 / 79.90元

      ",7.6,"
        (4396人评价)
    "
https://img1.doubanio.com/view/subject/s/public/s4552058.jpg,影响力,"
        
  
  罗伯特•B•西奥迪尼 (Robert B. Cialdini) / 闾佳 / 万卷出版公司 / 2010-9-20 / 45.00元

      ",8.7,"
        (9458人评价)
    "
