封面,标题,出版信息,评分,评价人数
https://img3.doubanio.com/view/subject/s/public/s6312371.jpg,明室,"
        
  
  [法]罗兰·巴尔特 / 赵克非 / 中国人民大学出版社 / 2011-3 / 19.80元

      ",7.8,"
        (1518人评价)
    "
https://img1.doubanio.com/view/subject/s/public/s28124098.jpg,观看之道,"
        
  
  [英]约翰·伯格 / 戴行钺 / 广西师范大学出版社 / 2015-7 / 42.00元

      ",8.2,"
        (2849人评价)
    "
https://img2.doubanio.com/view/subject/s/public/s28286653.jpg,摄影笔记,"
        
  
  宁思潇潇 / 人民邮电出版社 / 2015-8-1 / 69.00元

      ",7.7,"
        (1272人评价)
    "
https://img3.doubanio.com/view/subject/s/public/s11315481.jpg,照片的本质,"
        
  
  [美] 斯蒂芬·肖尔 / 江融 / 中国摄影出版社 / 2012-7 / 128.00元

      ",9.0,"
        (660人评价)
    "
https://img3.doubanio.com/view/subject/s/public/s33746431.jpg,匿名的风景,"
        
  
  王天羲 / 知乎图书｜北京联合出版公司 / 2020-11 / 88.00元

      ",9.2,"
        (110人评价)
    "
https://img1.doubanio.com/view/subject/s/public/s33791068.jpg,隐字上海,"
        
  
  格里董、施佳宇、沈健文 / The Type / 2020-9-28 / 188元

      ",7.8,"
        (46人评价)
    "
https://img1.doubanio.com/view/subject/s/public/s32300907.jpg,东京风格,"
        
  
  [日]都筑响一 / 吕灵芝 / 新星出版社 / 2019-5 / 158.00元

      ",8.8,"
        (2108人评价)
    "
https://img1.doubanio.com/view/subject/s/public/s33752368.jpg,佚名照,"
        
  
  晋永权 / 世纪文景 上海人民出版社 / 2020-10 / 298

      ",9.1,"
        (61人评价)
    "
https://img1.doubanio.com/view/subject/s/public/s29508529.jpg,我与这个世界的距离,"
        
  
  [美]薇薇安·迈尔、[美]约翰·马卢夫 / oneone / 九州出版社 / 2017-7 / 88.00元

      ",8.5,"
        (977人评价)
    "
https://img2.doubanio.com/view/subject/s/public/s29653202.jpg,摄影小史,"
        
  
  [德]瓦尔特·本雅明 / 许绮玲、林志明 / 广西师范大学出版社 / 2017-12 / 39.00元

      ",8.5,"
        (1146人评价)
    "
https://img2.doubanio.com/view/subject/s/public/s4031723.jpg,摄影师的视界,"
        
  
  [英] 迈克尔·弗里曼(Michael Freeman) / 张靖峻 / 人民邮电出版社 / 2009-9 / 88.00元

      ",9.7,"
        (763人评价)
    "
https://img1.doubanio.com/view/subject/s/public/s29475647.jpg,你好小朋友,"
        
  
  [日]秋山 亮二 / 小西六写真工业株式会社 / 1983-4-12 / JPY 3087

      ",8.7,"
        (853人评价)
    "
